Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,computedAHZ
91748,45406,39.8,22368,23038,13311,3.4,3.4111636991961536
91750,33249,42.6,15881,17368,11944,2.71,2.78374079035499
91754,32742,42.9,15620,17122,11193,2.92,2.9252211203430716
91755,27496,43.4,13271,14225,8760,3.12,3.138812785388128
91759,476,47.2,239,237,216,2.2,2.2037037037037037
91763,36375,30.8,18099,18276,9450,3.81,3.8492063492063493
91765,46457,40.8,22702,23755,15039,3.08,3.089101668993949
91766,71599,28.7,36111,35488,17708,4.01,4.04331375649424
91767,48068,31.2,23685,24383,13691,3.47,3.5109195822072894
91768,34537,27.3,17509,17028,7885,3.87,4.380088776157261
91770,62097,38.3,30521,31576,16588,3.7,3.7434892693513384
91773,33119,42.5,15737,17382,11941,2.73,2.7735533037434053
91775,23988,41.4,11448,12540,8227,2.9,2.9157651634860824
91776,38475,39.0,18751,19724,11776,3.24,3.2672384510869565
91780,34332,41.1,16438,17894,11318,3.03,3.03339812687754
91784,25938,44.5,12729,13209,8934,2.9,2.90329079919409
91786,51165,33.0,24516,26649,18087,2.79,2.8288273345496764
91789,43079,42.8,20988,22091,12891,3.31,3.341788844930572
91790,44907,35.2,21721,23186,12751,3.49,3.5218414242020235
91791,32414,38.0,15512,16902,10236,3.15,3.1666666666666665
91792,30854,35.3,14950,15904,9154,3.35,3.3705483941446364
91801,52735,39.1,24833,27902,19315,2.71,2.730261454827854
91803,30322,39.6,14486,15836,9894,3.04,3.064685668081666
92301,32725,25.6,16857,15868,8132,3.81,4.024225282833251
92371,16763,37.9,8565,8198,5370,3.11,3.1216014897579143
92372,6220,41.8,3136,3084,2198,2.83,2.829845313921747
92397,4894,44.1,2522,2372,1998,2.45,2.4494494494494496
92821,35533,38.7,17338,18195,13062,2.72,2.7203337926810596
92823,3613,38.6,1757,1856,1154,3.13,3.130849220103986
92833,51767,36.0,25643,26124,15849,3.23,3.266262855700675
93040,2031,29.3,1052,979,522,3.89,3.8908045977011496
93063,54366,39.0,26592,27774,18650,2.9,2.9150670241286862
93225,5077,44.0,2585,2492,2080,2.44,2.4408653846153845
93243,1699,40.9,884,815,623,2.73,2.727126805778491
93252,4176,38.4,3301,875,647,2.81,6.454404945904173
93510,7993,45.2,4086,3907,2729,2.86,2.9289116892634666
93523,3074,27.0,1531,1543,1056,2.91,2.9109848484848486
93532,2932,41.7,1642,1290,1079,2.45,2.717330861909175
93534,39341,31.1,18601,20740,14038,2.74,2.8024647385667474
93535,72046,28.3,34879,37167,20672,3.44,3.4851973684210527
93536,70918,34.4,37804,33114,20964,3.07,3.3828467849647015
93543,13033,32.9,6695,6338,3560,3.66,3.6609550561797755
93544,1259,52.4,689,570,569,2.2,2.212653778558875
93550,74929,27.5,36414,38515,20864,3.58,3.5913055981595092
93551,50798,37.0,25056,25742,15963,3.18,3.1822339159305897
93552,38158,28.4,18711,19447,9690,3.93,3.937874097007224
93553,2138,43.3,1121,1017,816,2.62,2.6200980392156863
93560,18910,32.4,9491,9419,6469,2.92,2.923172051321688
93563,388,44.5,263,125,103,2.53,3.766990291262136
93591,7285,30.9,3653,3632,1982,3.67,3.675580221997982
